freeCharge_average,Points:0,Points:1,Points:2
621723,0.001,-0.0001,3.35e-05
0.00325851,0.001,-9.98e-05,3.35e-05
1.61598e-05,0.001,-9.96e-05,3.35e-05
1.61604e-05,0.001,-9.94e-05,3.35e-05
1.61647e-05,0.001,-9.92e-05,3.35e-05
1.61702e-05,0.001,-9.9e-05,3.35e-05
1.61769e-05,0.001,-9.88e-05,3.35e-05
1.61849e-05,0.001,-9.86e-05,3.35e-05
1.61942e-05,0.001,-9.84e-05,3.35e-05
1.62047e-05,0.001,-9.82e-05,3.35e-05
1.62166e-05,0.001,-9.8e-05,3.35e-05
1.62298e-05,0.001,-9.78e-05,3.35e-05
1.6244e-05,0.001,-9.76e-05,3.35e-05
1.62599e-05,0.001,-9.74e-05,3.35e-05
1.6277e-05,0.001,-9.72e-05,3.35e-05
1.62951e-05,0.001,-9.7e-05,3.35e-05
1.6315e-05,0.001,-9.68e-05,3.35e-05
1.63356e-05,0.001,-9.66e-05,3.35e-05
1.63582e-05,0.001,-9.64e-05,3.35e-05
1.63817e-05,0.001,-9.62e-05,3.35e-05
1.64064e-05,0.001,-9.6e-05,3.35e-05
1.64331e-05,0.001,-9.58e-05,3.35e-05
1.64598e-05,0.001,-9.56e-05,3.35e-05
1.64894e-05,0.001,-9.54e-05,3.35e-05
1.65199e-05,0.001,-9.52e-05,3.35e-05
1.65503e-05,0.001,-9.5e-05,3.35e-05
1.65842e-05,0.001,-9.48e-05,3.35e-05
1.66189e-05,0.001,-9.46e-05,3.35e-05
1.66536e-05,0.001,-9.44e-05,3.35e-05
1.66906e-05,0.001,-9.42e-05,3.35e-05
1.67301e-05,0.001,-9.4e-05,3.35e-05
1.67696e-05,0.001,-9.38e-05,3.35e-05
1.68092e-05,0.001,-9.36e-05,3.35e-05
1.68526e-05,0.001,-9.34e-05,3.35e-05
1.68976e-05,0.001,-9.32e-05,3.35e-05
1.69427e-05,0.001,-9.3e-05,3.35e-05
1.69878e-05,0.001,-9.28e-05,3.35e-05
1.70355e-05,0.001,-9.26e-05,3.35e-05
1.70869e-05,0.001,-9.24e-05,3.35e-05
1.71383e-05,0.001,-9.22e-05,3.35e-05
1.71898e-05,0.001,-9.2e-05,3.35e-05
1.72412e-05,0.001,-9.18e-05,3.35e-05
1.72967e-05,0.001,-9.16e-05,3.35e-05
1.73554e-05,0.001,-9.14e-05,3.35e-05
1.74142e-05,0.001,-9.12e-05,3.35e-05
1.74729e-05,0.001,-9.1e-05,3.35e-05
1.75317e-05,0.001,-9.08e-05,3.35e-05
1.75909e-05,0.001,-9.06e-05,3.35e-05
1.76581e-05,0.001,-9.04e-05,3.35e-05
1.77253e-05,0.001,-9.02e-05,3.35e-05
1.77925e-05,0.001,-9e-05,3.35e-05
1.78597e-05,0.001,-8.98e-05,3.35e-05
1.79269e-05,0.001,-8.96e-05,3.35e-05
1.79941e-05,0.001,-8.94e-05,3.35e-05
1.80694e-05,0.001,-8.92e-05,3.35e-05
1.81464e-05,0.001,-8.9e-05,3.35e-05
1.82234e-05,0.001,-8.88e-05,3.35e-05
1.83004e-05,0.001,-8.86e-05,3.35e-05
1.83774e-05,0.001,-8.84e-05,3.35e-05
1.84544e-05,0.001,-8.82e-05,3.35e-05
1.85314e-05,0.001,-8.8e-05,3.35e-05
1.86178e-05,0.001,-8.78e-05,3.35e-05
1.8707e-05,0.001,-8.76e-05,3.35e-05
1.87963e-05,0.001,-8.74e-05,3.35e-05
